No.,Utterence,Response,Variation 1,Variation 2,Variation 3
13,"Which Tim Burton film is the highest-grossing film of 2010 and, already, the fifth highest-grossing film of all time worldwide?",'ALICE IN WONDERLAND',Which 2010 Tim Burton movie became one of the highest-grossing films ever worldwide?,Tim Burton directed this adaptation that topped the box office in 2010; what is it called?,Name the Burton film from 2010 that remains among the all-time top five global earners.
14,How many ‘E’ tiles are provided in a Scrabble game?,12,How many ‘E’ tiles are supplied in an English Scrabble set?,What is the total count of letter E pieces in a standard Scrabble game?,Identify the number of E tiles included among the 100-letter Scrabble distribution.
15,"As at early 2015, how many Prime Ministers have served in Australia since 2013?",3,"By early 2015, how many individuals had served as Prime Minister of Australia since 2013?","As of early 2015, the prime ministership in Australia had been held by how many people since 2013?",Count the number of different Prime Ministers Australia saw from 2013 up to early 2015.
16,Which city in Georgia was burned by General Sherman during the American Civil War,Atlanta,Which Georgian city was set ablaze by General Sherman during the Civil War?,General Sherman destroyed which major urban center in Georgia in 1864?,Name the city in Georgia that Sherman’s troops famously burned in the American Civil War.
17,"""Which detective is the protagonist of the novels """"Dead Man's Folly"""", """"Cards on the Table"""" and """"Mrs McGinty's Dead""""?""",(Hercule) Poirot,Which detective appears in the Agatha Christie novels “Dead Man’s Folly” and “Cards on the Table”?,Name the Belgian sleuth featured in “Mrs McGinty’s Dead” and “Dead Man’s Folly.”,Who is the main detective in the Christie mysteries “Cards on the Table” and “Dead Man’s Folly”?
18,How many feet are in a furlong?,660,A furlong corresponds to how many feet in the Imperial system?,"When converted to feet, one furlong equals what distance?",How many feet make up a single furlong?
19,"In years and days, how old was Luigina Giavotti when she won a silver medal in gymnastics in 1928, and is still the youngest medal winner today?",11 years and 302 days,"How old was Luigina Giavotti, in years and days, when she earned her silver medal in 1928?",Specify the exact age of Luigina Giavotti (in years and days) at the time of her 1928 Olympic success.,"At how many years and days did Luigina Giavotti win her 1928 gymnastics silver, maintaining her record as youngest medalist?"
20,Which American naval destroyer was attacked in Aden in October 2000?,U.S.S. COLE,"Which American destroyer fell victim to an attack in Aden, Yemen, in October 2000?",Name the U.S. Navy vessel that was bombed while refueling in Aden in 2000.,Identify the American warship targeted by terrorists in Aden harbor in October of 2000.
21,From around 2566 B.C. to 1311 A.D. what was the world’s tallest building?,Great Pyramid of Giza,Which ancient structure remained the tallest building on Earth from roughly 2566 B.C. to 1311 A.D.?,Name the Egyptian monument that held the title of world’s tallest until the 14th century.,"For over three millennia, which pyramid stood as humanity’s tallest edifice?"
22,Which British fashion designer was commissioned by Stanley Kubrick to design the costumes for the film ‘2001: A Space Odyssey’?,Hardy Amies,Stanley Kubrick commissioned which British couturier to create costumes for “2001: A Space Odyssey”?,Who was the British fashion designer behind the outfits seen in “2001: A Space Odyssey”?,Identify the UK-based designer that Kubrick hired to produce the wardrobe for “2001: A Space Odyssey.”
23,What is commonly known as the 'sport of kings'?,Horse Racing,Which equestrian pastime is traditionally nicknamed the “sport of kings”?,Name the racing event involving thoroughbreds that’s widely called the “sport of kings.”,Which horse-centered activity has long been referred to by many as the “sport of kings”?
24,Which is the largest city in Scandinavia by population ?,STOCKHOLM,Which Scandinavian capital is the most populous city in that region?,Name the Scandinavian metropolis that ranks first by population.,"Among cities in Scandinavia, which one leads in population size?"
25,The Nazi regime was Germany's Third Reich; which was the first Reich?,HOLY ROMAN EMPIRE,"Before the Second and Third Reichs, which historical empire was known as the First Reich of Germany?",The Nazi regime was Germany's Third Reich; what historical entity is considered the First Reich?,"What empire, preceding the Second and Third Reichs, is recognized as Germany’s First Reich?"
